coverage_type,category,coverage_score,product1_name,product1_url,product1_price,product1_rating,product2_name,product2_url,product2_price,product2_rating,product1_reviews,product2_reviews,price_difference,rating_difference,price_difference_pct,rating_difference_pct
price_coverage,Cell Phones,1.4,"Samsung Galaxy A20 32GB 6.4"" Display A205U Black Unlocked Smartphone (Renewed)",${env.wa_shopping_url}samsung-galaxy-a20-32gb-6-4-display-a205u-black-unlocked-smartphone-renewed.html,143.0,62,"Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)",${env.wa_shopping_url}alcatel-1-16gb-5-0-full-view-display-removable-battery-fm-radio-dual-sim-gsm-unlocked-us-global-4g-lte-international-version-5033e-bluish-black.html,64.42,62,12,11,78.58,0,0.5495104895104895,0.0
price_coverage,Cell Phones,1.4,Google Pixel 4 - Just Black - 64GB - Unlocked,${env.wa_shopping_url}google-pixel-4-just-black-64gb-unlocked.html,368.99,60,"Google Pixel 4a with 5G, 6.2"", 128GB, 6GB RAM, Unlocked Cellular - Just Black (Renewed)",${env.wa_shopping_url}google-pixel-4a-with-5g-6-2-128gb-6gb-ram-unlocked-cellular-just-black-renewed.html,273.5,60,12,12,95.49000000000001,0,0.2587875010162877,0.0
price_coverage,Cell Phones,1.4,"Unlocked Smartphones, Ulefone Note 6 Android 11 Phones, 32GB Dual Sim Unlocked Cell Phones, Dual Rear Camera, Triple Card Slots, 6.1"" Waterdrop Full-Screen, 3300mAh, Face Unlock, GPS, 3G Mobile Phone",${env.wa_shopping_url}unlocked-smartphones-ulefone-note-6-android-11-phones-32gb-dual-sim-unlocked-cell-phones-dual-rear-camera-triple-card-slots-6-1-waterdrop-full-screen-3300mah-face-unlock-gps-3g-mobile-phone.html,86.99,82,SAMSUNG Galaxy Note 8 N950U 64GB Unlocked GSM 4G LTE Android Smartphone w/Dual 12 MegaPixel Camera (Renewed) (Orchid Grey),${env.wa_shopping_url}samsung-galaxy-note-8-n950u-64gb-unlocked-gsm-4g-lte-android-smartphone-w-dual-12-megapixel-camera-renewed-orchid-grey.html,214.99,82,12,115,128.0,0,0.5953765291408902,0.0
price_coverage,Cell Phones,1.4,"LG G8 ThinQ LMG820TM (128GB, 6GB RAM) 6.1"" 4G LTE AT&T, T-Mobile Unlocked - GSM ONLY (AURORA BLACK)",${env.wa_shopping_url}lg-g8-thinq-lmg820tm-128gb-6gb-ram-6-1-4g-lte-at-t-t-mobile-unlocked-gsm-only-aurora-black.html,257.72,67,"T-Mobile Revvl 4 | 6.2"" | AL-5007W | 4G LTE | 32GB | T-Mobile | 13MP | Android Smartphone - Graphite (Renewed)",${env.wa_shopping_url}t-mobile-revvl-4-6-2-al-5007w-4g-lte-32gb-t-mobile-13mp-android-smartphone-graphite-renewed.html,40.04,67,12,12,217.68000000000004,0,0.844637591184231,0.0
price_coverage,Cell Phones,1.4,Alcatel 1 (2019) 5033E 4G LTE 5 inch 16GB 8MP Flash Quad Core Android Oreo Worldwide Unlocked (Bluish Black),${env.wa_shopping_url}alcatel-1-2019-5033e-4g-lte-5-inch-16gb-8mp-flash-quad-core-android-oreo-worldwide-unlocked-bluish-black.html,74.99,80,"Samsung Galaxy A50 US Version Factory Unlocked Cell Phone with 64GB Memory, 6.4"" Screen, Black, [SM-A505UZKNXAA] (Renewed)",${env.wa_shopping_url}samsung-galaxy-a50-us-version-factory-unlocked-cell-phone-with-64gb-memory-6-4-screen-black-sm-a505uzknxaa-renewed.html,159.0,80,1,12,84.01,0,0.5283647798742138,0.0
price_coverage,Cell Phones,1.4,Alcatel Big Easy Plus Prepaid Phone with Double Minutes (Tracfone),${env.wa_shopping_url}alcatel-big-easy-plus-prepaid-phone-with-double-minutes-tracfone.html,59.95,73,Xiaomi Redmi Note 10 Pro | 128GB 6GB RAM | Factory Unlocked (GSM ONLY | Not Compatible with Verizon/Sprint) | International Model (Glacier Blue),${env.wa_shopping_url}xiaomi-redmi-note-10-pro-128gb-6gb-ram-factory-unlocked-gsm-only-not-compatible-with-verizon-sprint-international-model-glacier-blue.html,300.0,73,12,12,240.05,0,0.8001666666666667,0.0
price_coverage,Speakers,1.4,iLive ITB105B 20-Inch Compact Sound Bar with Bluetooth 2.0,${env.wa_shopping_url}ilive-itb105b-20-inch-compact-sound-bar-with-bluetooth-2-0.html,53.28,62,"Acoustic Audio AA5102 Bluetooth Powered 5.1 Speaker System Home Theater Surround, Black (AA5102)",${env.wa_shopping_url}acoustic-audio-aa5102-bluetooth-powered-5-1-speaker-system-home-theater-surround-black-aa5102.html,102.25,62,12,12,48.97,0,0.47892420537897307,0.0
price_coverage,Speakers,1.4,Theater Solutions TS50C in Ceiling Speakers Surround Sound Home Theater 7 Speaker Set,${env.wa_shopping_url}theater-solutions-ts50c-in-ceiling-speakers-surround-sound-home-theater-7-speaker-set.html,142.28,80,Monitor Audio Bronze AMS Atmos Enabled Speaker Black (Pair),${env.wa_shopping_url}monitor-audio-bronze-ams-atmos-enabled-speaker-black-pair.html,625.0,80,1,2,482.72,0,0.772352,0.0
price_coverage,Speakers,1.4,Theater Solutions TS50C in Ceiling Speakers Surround Sound Home Theater 7 Speaker Set,${env.wa_shopping_url}theater-solutions-ts50c-in-ceiling-speakers-surround-sound-home-theater-7-speaker-set.html,142.28,80,"REL Acoustics HT/1205 Subwoofer, HT-Air Wireless Compatible, Line Grained Black Composite",${env.wa_shopping_url}rel-acoustics-ht-1205-subwoofer-ht-air-wireless-compatible-line-grained-black-composite.html,848.0,80,1,12,705.72,0,0.8322169811320755,0.0
price_coverage,Speakers,1.4,"Klipsch RB-51 II (Pr) 2-Way Bookshelf Speakers,Black,Dimensions: 11.4"" H x 6.5"" W x 10.75"" D",${env.wa_shopping_url}klipsch-rb-51-ii-pr-2-way-bookshelf-speakers-black-dimensions-11-4-h-x-6-5-w-x-10-75-d.html,199.99,90,"Dayton Audio IOSUB 10"" IP66 Indoor/Outdoor Subwoofer 150W Black",${env.wa_shopping_url}dayton-audio-iosub-10-ip66-indoor-outdoor-subwoofer-150w-black.html,229.98,90,12,12,29.98999999999998,0,0.13040264370814847,0.0
